Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females,District_Code,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females
5,0,11,28900,12891,16009,6547,4162,2385,99,52,47,21537,8303,13234,79,35,44,27,816,426,390
5,1,0,51391,27511,23880,1574,843,731,71,36,35,49589,26549,23040,331,173,158,27,228,119,109
5,1,1,53962,29017,24945,2298,1497,801,169,118,51,51214,27235,23979,707,445,262,27,450,285,165
5,1,2,53278,28392,24886,7244,5624,1620,787,604,183,44505,21663,22842,4753,2853,1900,27,1529,1105,424
5,1,3,53025,27056,25969,15030,12009,3021,1406,1054,352,35230,13176,22054,6678,3830,2848,27,2765,1871,894
5,1,4,45463,23096,22367,20586,16635,3951,1274,940,334,22089,4597,17492,3600,1859,1741,27,2788,1864,924
5,1,5,38521,19380,19141,20667,16435,4232,980,670,310,15422,1447,13975,1456,590,866,27,2432,1498,934
5,1,6,35967,18078,17889,20279,15829,4450,863,585,278,13453,924,12529,907,344,563,27,2235,1325,910
5,1,7,54727,28913,25814,31965,25746,6219,1163,779,384,19629,1322,18307,770,280,490,27,3133,1845,1288
5,1,8,33673,17752,15921,18224,14802,3422,521,315,206,13788,1980,11808,307,128,179,27,1661,970,691
5,1,9,28421,12752,15669,8681,6371,2310,449,260,189,18349,5624,12725,287,109,178,27,1391,757,634
5,1,10,12390,5886,6504,2693,2084,609,121,91,30,9268,3504,5764,109,49,60,27,429,298,131
