District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
7,8,1,0,134397,70185,64212,2050,1510,540,161,81,80,132186,68594,63592,1008,538,470
7,8,1,1,57389,31795,25594,8190,6870,1320,540,320,220,48659,24605,24054,460,270,190
7,8,1,2,50323,26554,23769,16940,14684,2256,500,190,310,32883,11680,21203,470,280,190
7,8,1,3,42219,20760,21459,20792,18090,2702,630,170,460,20797,2500,18297,330,160,170
7,8,1,4,35873,18841,17032,20976,18041,2935,317,20,297,14580,780,13800,110,40,70
7,8,1,5,32659,17770,14889,19873,17200,2673,320,50,270,12466,520,11946,70,20,50
7,8,1,6,45880,24200,21680,27710,23110,4600,540,80,460,17630,1010,16620,70,10,60
7,8,1,7,28612,15068,13544,15164,12918,2246,298,40,258,13150,2110,11040,80,0,80
7,8,1,8,19738,9308,10430,5168,4358,810,140,50,90,14430,4900,9530,80,30,50
7,8,1,9,7911,3681,4230,1210,1040,170,60,30,30,6641,2611,4030,20,10,10
7,8,1,10,2850,1200,1650,190,170,20,0,0,0,2660,1030,1630,10,0,10
8,11,0,0,598696,315761,282935,40940,20330,20610,7180,1380,5800,550576,294051,256525,1500,810,690
8,11,0,1,200870,115530,85340,93210,54570,38640,9460,1650,7810,98200,59310,38890,2200,1620,580
8,11,0,2,190028,97092,92936,133343,75957,57386,11130,1160,9970,45555,19975,25580,2185,1745,440
8,11,0,3,176428,84120,92308,140886,80240,60646,10492,500,9992,25050,3380,21670,860,730,130
8,11,0,4,155109,76468,78641,128449,75468,52981,8530,220,8310,18130,780,17350,140,100,40
8,11,0,5,140520,72060,68460,118880,71430,47450,7700,140,7560,13940,490,13450,190,70,120
8,11,0,6,215490,108820,106670,182580,107190,75390,11240,320,10920,21670,1310,20360,110,30,80
8,11,0,7,164134,81564,82570,125014,76754,48260,8950,350,8600,30170,4460,25710,80,30,50
8,11,0,8,122700,57820,64880,57050,38650,18400,5000,530,4470,60650,18640,42010,50,20,30
8,11,0,9,46450,22070,24380,9960,7800,2160,1120,350,770,35370,13920,21450,20,10,10
8,11,0,10,16260,7470,8790,1680,1210,470,130,20,110,14450,6240,8210,20,10,10
8,11,1,0,216783,112635,104148,3550,2580,970,500,120,380,212733,109935,102798,860,410,450
8,11,1,1,89538,49161,40377,15263,12311,2952,890,380,510,73385,36470,36915,2040,1320,720
8,11,1,2,83289,43889,39400,29397,25217,4180,998,388,610,52894,18284,34610,3050,2150,900
8,11,1,3,70181,33907,36274,34909,29650,5259,807,167,640,34465,4090,30375,1330,830,500
8,11,1,4,63214,32449,30765,37251,31308,5943,731,70,661,25232,1071,24161,490,290,200
8,11,1,5,56836,29783,27053,34312,29145,5167,704,78,626,21820,560,21260,190,20,170
8,11,1,6,82178,44377,37801,51142,43167,7975,950,80,870,30086,1130,28956,220,60,160
8,11,1,7,52888,27638,25250,28928,24368,4560,500,70,430,23460,3200,20260,110,20,90
8,11,1,8,36322,17829,18493,9583,7960,1623,260,60,200,26479,9809,16670,70,50,20
8,11,1,9,14120,6770,7350,2170,1950,220,50,20,30,11900,4800,7100,40,0,40
8,11,1,10,5200,2410,2790,390,360,30,0,0,0,4810,2050,2760,10,10,0
9,0,0,0,699120,360423,338697,34580,13920,20660,9260,1480,7780,655280,345023,310257,5420,2850,2570
9,0,0,1,242507,138777,103730,105380,58180,47200,13114,2034,11080,124013,78563,45450,1800,1310,490
9,0,0,2,234800,117890,116910,165730,91420,74310,15430,1360,14070,53640,25110,28530,1430,1100,330
9,0,0,3,218405,103548,114857,173791,98068,75723,14310,600,13710,30304,4880,25424,820,560,260
9,0,0,4,194776,96610,98166,163076,95030,68046,11670,310,11360,20030,1270,18760,220,110,110
9,0,0,5,177646,90737,86909,151457,89467,61990,9969,190,9779,16220,1080,15140,80,10,70
9,0,0,6,283239,142220,141019,238459,139570,98889,17940,430,17510,26840,2220,24620,110,20,90
9,0,0,7,198721,103571,95150,150451,97281,53170,13330,500,12830,34940,5790,29150,190,30,160
9,0,0,8,138010,68420,69590,65760,46780,18980,6950,960,5990,65300,20680,44620,320,140,180
9,0,0,9,54650,27220,27430,11450,9040,2410,1500,310,1190,41700,17870,23830,200,70,130
9,0,0,10,21250,10360,10890,1940,1540,400,230,70,160,19080,8750,10330,140,80,60
9,0,1,0,124880,64663,60217,1840,1040,800,80,50,30,122960,63573,59387,630,350,280
9,0,1,1,50710,28240,22470,9730,7570,2160,380,120,260,40600,20550,20050,500,370,130
9,0,1,2,53690,27550,26140,21710,17090,4620,570,210,360,31410,10250,21160,550,390,160
9,0,1,3,47597,23620,23977,26683,21750,4933,624,100,524,20290,1770,18520,150,70,80
9,0,1,4,40826,21029,19797,25881,20464,5417,437,87,350,14508,478,14030,90,30,60
9,0,1,5,36540,19250,17290,23530,18740,4790,380,50,330,12630,460,12170,50,10,40
9,0,1,6,51616,28761,22855,34964,27631,7333,462,80,382,16190,1050,15140,100,40,60
9,0,1,7,31205,15743,15462,16911,13402,3509,300,80,220,13994,2261,11733,30,10,20
9,0,1,8,21797,11377,10420,6358,5318,1040,287,127,160,15152,5932,9220,60,50,10
9,0,1,9,7860,4070,3790,1480,1230,250,40,30,10,6340,2810,3530,0,0,0
9,0,1,10,2980,1330,1650,270,220,50,20,0,20,2690,1110,1580,10,10,0
10,20,0,0,639849,326994,312855,23700,9400,14300,12997,3257,9740,603152,314337,288815,6370,3400,2970
10,20,0,1,230693,128383,102310,92303,52843,39460,19080,4780,14300,119310,70760,48550,2790,2040,750
10,20,0,2,233730,117680,116050,157010,94480,62530,22030,2720,19310,54690,20480,34210,2140,1600,540
10,20,0,3,216576,103316,113260,164800,98300,66500,18550,620,17930,33226,4396,28830,650,490,160
10,20,0,4,190606,95242,95364,153209,92652,60557,14920,340,14580,22477,2250,20227,350,220,130
10,20,0,5,174504,89040,85464,142940,87110,55830,13468,340,13128,18096,1590,16506,210,90,120
10,20,0,6,273249,135860,137389,221279,132110,89169,23240,660,22580,28730,3090,25640,230,70,160
10,20,0,7,198826,102616,96210,144816,95976,48840,18290,690,17600,35720,5950,29770,340,110,230
