District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
27,Bid,Rural,70-79,62538,32600,29938,21622,16296,5326,5012,2502,2510,321,189,132,35904,13802,22102,203,89,114
27,Bid,Rural,80+,22020,9425,12595,3333,2358,975,966,488,478,49,28,21,17721,6579,11142,62,24,38
27,Bid,Urban,05-09,46946,24480,22466,147,110,37,46,25,21,8,6,2,46753,24345,22408,322,181,141
27,Bid,Urban,10-14,52084,27678,24406,757,624,133,288,200,88,86,67,19,51039,26854,24185,766,453,313
27,Bid,Urban,15-19,42882,23834,19048,4046,3632,414,934,733,201,425,368,57,37902,19469,18433,3611,2261,1350
27,Bid,Urban,20-24,33600,17806,15794,8343,7241,1102,1238,871,367,593,480,113,24019,9694,14325,4091,2748,1343
27,Bid,Urban,25-29,29956,14504,15452,12721,10828,1893,1305,805,500,612,452,160,15930,2871,13059,2143,1272,871
27,Bid,Urban,30-34,28060,14128,13932,14834,12654,2180,1303,686,617,583,414,169,11923,788,11135,793,363,430
27,Bid,Urban,35-39,27014,13426,13588,14718,12426,2292,1274,624,650,546,370,176,11022,376,10646,475,138,337
27,Bid,Urban,40-49,36935,20572,16363,22255,19228,3027,1533,748,785,584,379,205,13147,596,12551,422,139,283
27,Bid,Urban,50-59,19637,10490,9147,10544,9064,1480,742,352,390,252,150,102,8351,1074,7277,153,52,101
27,Bid,Urban,60-69,18807,7992,10815,5236,4202,1034,746,372,374,194,117,77,12825,3418,9407,188,63,125
27,Bid,Urban,70-79,8541,4177,4364,1702,1493,209,256,162,94,59,42,17,6583,2522,4061,62,24,38
27,Bid,Urban,80+,3137,1337,1800,337,291,46,34,24,10,5,4,1,2766,1022,1744,18,9,9
28,Latur,Rural,05-09,190403,97980,92423,750,440,310,435,210,225,37,19,18,189218,97330,91888,775,385,390
28,Latur,Rural,10-14,208208,109329,98879,6337,4030,2307,3511,1480,2031,525,292,233,198360,103819,94541,1755,946,809
28,Latur,Rural,15-19,156513,87106,69407,37119,25188,11931,12392,4838,7554,3321,1883,1438,107002,57080,49922,8754,5847,2907
28,Latur,Rural,20-24,126584,69442,57142,68906,45117,23789,16429,5029,11400,5070,2788,2282,41249,19296,21953,8035,6160,1875
28,Latur,Rural,25-29,112285,55448,56837,75329,47505,27824,15485,3303,12182,4160,1836,2324,21471,4640,16831,3280,2160,1120
28,Latur,Rural,30-34,105137,52131,53006,77630,48676,28954,13563,2237,11326,3331,1179,2152,13944,1218,12726,1113,485,628
28,Latur,Rural,35-39,97095,48708,48387,73605,46337,27268,11908,1748,10160,2747,902,1845,11582,623,10959,639,186,453
28,Latur,Rural,40-49,137416,73540,63876,105547,70129,35418,15587,2334,13253,3136,966,2170,16282,1077,15205,643,154,489
28,Latur,Rural,50-59,86589,43279,43310,61718,40327,21391,10402,1403,8999,1735,457,1278,14469,1549,12920,303,62,241
28,Latur,Rural,60-69,118291,52722,65569,62705,41334,21371,13514,2880,10634,1804,503,1301,42072,8508,33564,601,152,449
28,Latur,Rural,70-79,53168,28217,24951,17503,14584,2919,3529,1697,1832,357,196,161,32136,11936,20200,279,113,166
28,Latur,Rural,80+,21705,9698,12007,3445,2716,729,840,402,438,72,38,34,17420,6580,10840,66,25,41
28,Latur,Urban,05-09,62187,32436,29751,316,197,119,42,18,24,3,1,2,61829,32221,29608,453,247,206
28,Latur,Urban,10-14,66955,35992,30963,1237,999,238,289,195,94,76,54,22,65429,34798,30631,1195,707,488
28,Latur,Urban,15-19,55033,29952,25081,5649,5065,584,976,734,242,373,294,79,48408,24153,24255,5111,3121,1990
28,Latur,Urban,20-24,43794,22960,20834,11798,10367,1431,1334,912,422,574,458,116,30662,11681,18981,5478,3597,1881
28,Latur,Urban,25-29,38708,18869,19839,17070,14754,2316,1397,762,635,531,361,170,20241,3353,16888,2696,1500,1196
28,Latur,Urban,30-34,35093,17764,17329,18681,16121,2560,1340,654,686,511,334,177,15072,989,14083,1194,468,726
28,Latur,Urban,35-39,32701,16396,16305,17928,15359,2569,1258,571,687,426,257,169,13515,466,13049,666,169,497
28,Latur,Urban,40-49,43938,24632,19306,26507,23243,3264,1506,737,769,477,315,162,15925,652,15273,564,124,440
28,Latur,Urban,50-59,23623,13023,10600,12958,11392,1566,728,370,358,187,107,80,9937,1261,8676,260,70,190
28,Latur,Urban,60-69,21905,9535,12370,6347,5224,1123,770,395,375,175,105,70,14788,3916,10872,314,82,232
28,Latur,Urban,70-79,10034,4977,5057,2144,1928,216,236,164,72,45,34,11,7654,2885,4769,110,36,74
28,Latur,Urban,80+,4383,1994,2389,619,546,73,61,30,31,6,3,3,3703,1418,2285,35,14,21
29,Osmanabad,Rural,05-09,141386,73304,68082,1178,655,523,448,200,248,36,23,13,139760,72449,67311,963,519,444
29,Osmanabad,Rural,10-14,162869,85508,77361,6319,3762,2557,3513,1505,2008,581,306,275,153037,80241,72796,2377,1338,1039
29,Osmanabad,Rural,15-19,119572,68038,51534,31153,20715,10438,10186,4493,5693,3472,2158,1314,78233,42830,35403,12600,8135,4465
29,Osmanabad,Rural,20-24,92804,50899,41905,51075,32196,18879,11484,4355,7129,4343,2735,1608,30245,14348,15897,9224,6572,2652
29,Osmanabad,Rural,25-29,89362,43524,45838,61500,36516,24984,11374,3242,8132,3758,1993,1765,16488,3766,12722,3888,2197,1691
29,Osmanabad,Rural,30-34,82524,40964,41560,62808,37555,25253,9689,2367,7322,2636,1240,1396,10027,1042,8985,1241,509,732
29,Osmanabad,Rural,35-39,79672,39788,39884,62276,37194,25082,8875,1970,6905,2159,935,1224,8521,624,7897,795,225,570
29,Osmanabad,Rural,40-49,112910,60422,52488,89038,56776,32262,11592,2563,9029,2368,962,1406,12280,1083,11197,798,231,567
29,Osmanabad,Rural,50-59,71651,36043,35608,52709,32978,19731,7696,1595,6101,1289,417,872,11246,1470,9776,452,84,368
29,Osmanabad,Rural,60-69,100117,44218,55899,56491,34207,22284,11002,2841,8161,1427,474,953,32624,7170,25454,876,179,697
29,Osmanabad,Rural,70-79,47315,25812,21503,17314,13785,3529,3517,1815,1702,347,171,176,26484,10212,16272,436,145,291
